书名,图书链接,评分,评价,作者,出版社,出品方,原作名,译者,出版年,页数,定价,装帧,丛书,ISBN
枪炮、病菌与钢铁,https://book.douban.com/subject/1813841/,8.7,人类社会的命运,[美]贾雷德·戴蒙德,上海世纪出版集团,,,谢延光,2006年4月,460,45.00元,平装,世纪人文系列丛书·开放人文,9787532739233 
棋王,https://book.douban.com/subject/1020961/,8.8,我从未真正见过火，也未见过毁灭，更不知新生,阿城,作家出版社,,,,1999年10月,250,13,平装,阿城文集,9787506315975 
天朝的崩溃,https://book.douban.com/subject/1675478/,9.1,鸦片战争再研究,茅海建,生活·读书·新知三联书店,,,,2005年7月,600,32.00元,平装,,9787108022943 
失明症漫记,https://book.douban.com/subject/20428302/,9.1,失明症迅速蔓延，整个城市陷入一场空前的灾难,(葡)若泽·萨拉马戈,南海出版公司,新经典文化,EnsaiosobreaCegueira,范维信,2014年2月,281,29.5,平装,新经典文库：若泽·萨拉马戈作品,9787544264112 
万物有灵且美,https://book.douban.com/subject/4187411/,8.8,活泼的生命完全无须借助魔法，便能对我们述说至美至真的故事,[英]吉米·哈利,中国城市出版社,,AllThingsBrightandBeautiful,种衍伦,2010年1月,298,28.8,平装,吉米·哈利“万物”系列,9787507421774 
罪与罚,https://book.douban.com/subject/1858568/,9.1,描绘人内心的全部深度,[俄]费奥多尔·陀思妥耶夫斯基,上海译文出版社,,Преступлениеинаказание,岳麟,2006年8月,471,23.00元,平装,译文名著文库,9787532740079 
最好的我们,https://book.douban.com/subject/24754316/,8.7,耿耿余淮,八月长安,湖南文艺出版社,博集天卷,流水混账,,2013年8月,560,55,套装,“振华”系列,9787540462642 
总统是靠不住的,https://book.douban.com/subject/1056315/,8.8,美国政治法律制度的基本原理和操作细节,林达,生活·读书·新知三联书店,,,,2004年8月,428,21.8,平装,林达作品系列,9787108011367 
人间草木,https://book.douban.com/subject/1253310/,9,我就是要这样香，香得痛痛快快,汪曾祺,江苏文艺出版社,,,,2005年1月,315,20.00元,平装,大家散文文存,9787539921969 
我的天才女友,https://book.douban.com/subject/26878124/,8.5,“那不勒斯四部曲”第一部，两个女人，50年的友谊和战争,[意]埃莱娜·费兰特,人民文学出版社,99读书人,L'amicageniale,陈英,2017年1月,330,42.00元,平装,那不勒斯四部曲,9787020120130 
顾城的诗,https://book.douban.com/subject/1033825/,8.8,火焰是我们诗歌唯一的读者,顾城,人民文学出版社,,,,1998年12月,403,20,平装,蓝星诗库,9787020025862 
全球通史,https://book.douban.com/subject/10583099/,9.1,从史前史到21世纪,(美)斯塔夫里阿诺斯,北京大学出版社,,,吴象婴/梁赤民/董书慧/王昶,2012年2月,833,168.00元,精装,,9787301204689 
民主的细节,https://book.douban.com/subject/3813669/,8.6,公民养成手册,刘瑜,上海三联书店,,,,2009年6月,293,25,平装,刘瑜作品系列,9787542629586 
上学记,https://book.douban.com/subject/1859140/,8.9,20世纪中国知识分子的心灵史,何兆武/文靖,生活·读书·新知三联书店,,,,2006年8月,287,19.80元,平装,,9787108025104 
荆棘鸟,https://book.douban.com/subject/1086249/,8.6,澳洲乱世情,[澳]考琳·麦卡洛,译林出版社,,TheThornBirds,曾胡,1998年7月,677,28.00元,精装,名著译林,9787805678313 
倚天屠龙记(共四册),https://book.douban.com/subject/1070851/,8.6,不识张郎是张郎,金庸,三联书店,,,,1999年4月,1335,47,平装,金庸作品集（三联口袋本）,9787108012692 
茶馆,https://book.douban.com/subject/1036613/,9,清末、民初、抗战胜利以后三个历史时期的北京生活风貌,老舍,人民文学出版社,,,,2002年1月,142,9.80元,平装,大学生必读,9787020036509 
一句顶一万句,https://book.douban.com/subject/3633461/,8.7,一句胜过千年,刘震云,长江文艺出版社,长江新世纪,,,2009年3月,362,29.8,精装,刘震云作品,9787535439765 
雨季不再来,https://book.douban.com/subject/2136140/,8.7,三毛少女时代的成长感受,三毛,北京十月文艺出版社,青马文化,,,2007年7月,294,28.00元,精装,三毛集,9787530208960 
草房子,https://book.douban.com/subject/1052990/,9,男孩桑桑刻骨铭心、终身难忘的六年小学生活,曹文轩,江苏少年儿童出版社,,,,2009年6月,296,18.00元,平装,曹文轩纯美小说系列,9787534618727 
一千零一夜,https://book.douban.com/subject/1035848/,8.7,阿拉伯地区的古代民间传说,,人民文学出版社,,,纳川,2003年1月,560,22,平装,名著名译插图本,9787020040346 
雷雨,https://book.douban.com/subject/1013416/,8.6,一幕人生大悲剧，在一个雷雨夜爆发,曹禺,人民文学出版社,,,,1999年5月,188,9.2,平装,中国现代名剧丛书,9787020018567 
正见,https://book.douban.com/subject/1963912/,8.8,佛陀的证悟,[不丹]宗萨蒋扬钦哲仁波切,中国友谊出版公司,,AlmostBuddhist/近乎佛教徒,姚仁喜,2007年1月,168,25.00元,平装,,9787505722453 
此生未完成,https://book.douban.com/subject/6397275/,8.9,一个母亲、妻子、女儿的生命日记,于娟,湖南科技出版社,,,,2011年5月,248,26.00元,平装,,9787535766779 
青铜时代,https://book.douban.com/subject/1085883/,8.7,唐人传奇贯注现代情趣,王小波,花城出版社,,,,1997年5月,625,29.00元,平装,王小波《时代三部曲》,9787536025103 
认识电影,https://book.douban.com/subject/2326403/,8.9,电影入门经典之作,[美]路易斯·贾内梯/[瑞典]英格玛·伯格曼[日]黑泽明等供图,世界图书出版公司,后浪,,焦雄屏,2007年11月,484,68.00元,平装,,9787506287081 
从一到无穷大,https://book.douban.com/subject/1102715/,9.1,科学中的事实和臆测,[美]乔治·伽莫夫/校注吴伯泽,科学出版社,,OneTwoThree...Infinity,暴永宁译/吴伯泽校,2002年11月,329,29.00元,平装,20世纪科普经典特藏（中译本）,9787030107596 
海风中失落的血色馈赠,https://book.douban.com/subject/26357614/,9.1,男女之间、父母与子女之间紧密的纽带和难以逾越的鸿沟,[加拿大]阿利斯泰尔·麦克劳德,上海文艺出版社,99读书人,TheLostSaltGiftofBlood,陈以侃,2015年6月,163,CNY20.00,平装,短经典,9787532156825 
